c00142_NODE_14...region001,ERR2239745_contigs.region004
c00191_NODE_19...region001,ERR3946698_contigs.region003
c00243_NODE_24...region001,ERR2239483_contigs.region004
c00829_NODE_82...region001,ERR3941087_contigs.region007
c01768_NODE_17...region001,ERR3946851_contigs.region009
c00027_NODE_27...region001,ERR2239802_contigs.region002
c00195_NODE_19...region001,ERR3941387_contigs.region001
c00791_NODE_79...region001,ERR3946778_contigs.region004
c00930_NODE_93...region001,ERR2239454_contigs.region014
c01563_NODE_15...region001,ERR2239714_contigs.region003
c01741_NODE_17...region001,ERR3941071_contigs.region006
c02491_NODE_24...region001,ERR3941071_contigs.region007
c02828_NODE_28...region001,ERR2239775_contigs.region004
c00183_NODE_18...region001,ERR2239558_contigs.region009
c00369_NODE_36...region001,ERR2239658_contigs.region004
c00423_NODE_42...region001,ERR2239652_contigs.region004
c00457_NODE_45...region001,ERR2239437_contigs.region004
c00685_NODE_68...region001,ERR3946825_contigs.region006
c00688_NODE_68...region001,ERR2239614_contigs.region001
c01972_NODE_19...region001,ERR3941072_contigs.region011
c02155_NODE_21...region001,ERR2239187_contigs.region001
c00295_NODE_29...region001,ERR2239237_contigs.region003
c00964_NODE_96...region001,ERR3941073_contigs.region004
c00039_NODE_39...region001,ERR2239773_contigs.region002
c00043_NODE_43...region001,ERR2239773_contigs.region003
c00101_NODE_10...region001,ERR2239297_contigs.region002
c00272_NODE_27...region001,ERR2239550_contigs.region001
c00279_NODE_27...region001,ERR2239550_contigs.region002
c01544_NODE_15...region001,ERR2239500_contigs.region005
c01555_NODE_15...region001,ERR3941251_contigs.region005
c01823_NODE_18...region001,ERR3941074_contigs.region008
c04291_NODE_42...region001,ERR3941074_contigs.region009
c00098_NODE_98...region001,ERR2239663_contigs.region003
c00314_NODE_31...region001,ERR2239460_contigs.region003
c00578_NODE_57...region001,ERR3941354_contigs.region004
c00939_NODE_93...region001,ERR2239739_contigs.region004
c01322_NODE_13...region001,ERR3941075_contigs.region005
c01350_NODE_13...region001,ERR3946736_contigs.region008
c02919_NODE_29...region001,ERR3941326_contigs.region010
c00058_NODE_58...region001,ERR2239629_contigs.region001
c00113_NODE_11...region001,ERR2239525_contigs.region001
c00130_NODE_13...region001,ERR2239706_contigs.region006
c00163_NODE_16...region001,ERR3946842_contigs.region002
c00479_NODE_47...region001,ERR3941076_contigs.region005
c00790_NODE_79...region001,ERR2239628_contigs.region004
c01217_NODE_12...region001,ERR2239765_contigs.region001
c00100_NODE_10...region001,ERR2239470_contigs.region010
c00198_NODE_19...region001,ERR2239663_contigs.region004
c01110_NODE_11...region001,ERR3946858_contigs.region010
c01435_NODE_14...region001,ERR3941077_contigs.region005
c00179_NODE_17...region001,ERR2239195_contigs.region003
c00438_NODE_43...region001,ERR2239617_contigs.region002
c00205_NODE_20...region001,ERR3946877_contigs.region002
c00301_NODE_30...region001,ERR2239764_contigs.region005
c00601_NODE_60...region001,ERR3946801_contigs.region008
c00847_NODE_84...region001,ERR2239604_contigs.region005
c00890_NODE_89...region001,ERR3946877_contigs.region006
c01619_NODE_16...region001,ERR3941079_contigs.region008
c02955_NODE_29...region001,ERR3946710_contigs.region005
c04437_NODE_44...region001,ERR3941079_contigs.region010
c05475_NODE_54...region001,ERR3941079_contigs.region011
c05966_NODE_59...region001,ERR3941079_contigs.region012
c00107_NODE_10...region001,ERR3941168_contigs.region002
c00444_NODE_44...region001,ERR3941080_contigs.region003
c00762_NODE_76...region001,ERR2239565_contigs.region003
c01137_NODE_11...region001,ERR2239558_contigs.region011
c01793_NODE_17...region001,ERR3941080_contigs.region006
c02624_NODE_26...region001,ERR3946756_contigs.region009
c03553_NODE_35...region001,ERR3941080_contigs.region008
c03630_NODE_36...region001,ERR3941212_contigs.region007
c05531_NODE_55...region001,ERR3941080_contigs.region010
c00009_NODE_9_...region001,ERR2239791_contigs.region001
c00184_NODE_18...region001,ERR2239591_contigs.region003
c00216_NODE_21...region001,ERR3941081_contigs.region005
c00257_NODE_25...region001,ERR2239454_contigs.region010
c00354_NODE_35...region001,ERR2239246_contigs.region004
c00487_NODE_48...region001,ERR2239696_contigs.region003
c00796_NODE_79...region001,ERR3946873_contigs.region007
c01598_NODE_15...region001,ERR3941081_contigs.region010
c00014_NODE_14...region001,ERR2239693_contigs.region002
c00076_NODE_76...region001,ERR2239797_contigs.region006
c00225_NODE_22...region001,ERR3946804_contigs.region003
c00234_NODE_23...region001,ERR2239189_contigs.region001
c00536_NODE_53...region001,ERR2239575_contigs.region004
c00606_NODE_60...region001,ERR2239650_contigs.region003
c00905_NODE_90...region001,ERR2239807_contigs.region002
c01659_NODE_16...region001,ERR2239310_contigs.region005
c00083_NODE_83...region001,ERR2239778_contigs.region001
c00306_NODE_30...region001,ERR2239775_contigs.region002
c00652_NODE_65...region001,ERR3958149_contigs.region002
c00772_NODE_77...region001,ERR2239523_contigs.region013
c00809_NODE_80...region001,ERR2239478_contigs.region014
c01105_NODE_11...region001,ERR2239312_contigs.region012
c03510_NODE_35...region001,ERR3941084_contigs.region009
c04359_NODE_43...region001,ERR3941084_contigs.region010
c00079_NODE_79...region001,ERR2239733_contigs.region001
c00090_NODE_90...region001,ERR2239760_contigs.region001
c00215_NODE_21...region001,ERR2239644_contigs.region003
c00256_NODE_25...region001,ERR2239470_contigs.region013
c00356_NODE_35...region001,ERR2239456_contigs.region002
c00374_NODE_37...region001,ERR2239667_contigs.region003
c01624_NODE_16...region001,ERR2239719_contigs.region005
c01941_NODE_19...region001,ERR3941085_contigs.region009
c02321_NODE_23...region001,ERR2239687_contigs.region003
c00057_NODE_57...region001,ERR2239695_contigs.region002
c00094_NODE_94...region001,ERR2239760_contigs.region002
c00752_NODE_75...region001,ERR3946825_contigs.region007
c00945_NODE_94...region001,ERR3946748_contigs.region003
c01092_NODE_10...region001,ERR3941087_contigs.region009
c02509_NODE_25...region001,ERR3946864_contigs.region017
c02621_NODE_26...region001,ERR3946760_contigs.region005
c05093_NODE_50...region001,ERR3941087_contigs.region012
c07557_NODE_75...region001,ERR3941087_contigs.region013
c09491_NODE_94...region001,ERR3941087_contigs.region014
c12283_NODE_12...region001,ERR3941087_contigs.region015
c12354_NODE_12...region001,ERR3941087_contigs.region016
c00062_NODE_62...region001,ERR2239590_contigs.region002
c00075_NODE_75...region001,ERR2239596_contigs.region004
c00546_NODE_54...region001,ERR2239221_contigs.region001
c00711_NODE_71...region001,ERR2239577_contigs.region002
c00778_NODE_77...region001,ERR2239778_contigs.region006
c01232_NODE_12...region001,ERR3941200_contigs.region004
c01386_NODE_13...region001,ERR3941088_contigs.region008
