Accession_id	Assembly_id	GenBank_id	Refseq_id
SAMN05826283	816521	GCA_001767235.1	GCF_001767235.1
SAMN05826284	859951	GCA_001854205.1	GCF_001854205.1
SAMN02471690	946971	GCA_001942475.1	GCF_001942475.1
SAMN05826285	946981	GCA_001942495.1	GCF_001942495.1
SAMN02603334	377558	GCA_000025745.1	GCF_000025745.1
PRJNA596543	5482871	GCA_009910495.1	GCF_009910495.1
SAMN02597242	90011	GCA_000514715.1	GCF_000514715.1
SAMN02597197	96411	GCA_000527195.1	GCF_000527195.1
SAMN02441484	59911	GCA_000424825.1	GCF_000424825.1
SAMN02441102	71981	GCA_000482585.1	GCF_000482585.1
SAMN02195009	-	-	-
SAMN02597259	90181	GCA_000515055.1	GCF_000515055.1
SAMN02440454	637778	GCA_000377125.1	GCF_000377125.1
1290527 	-	-	-
SAMN02441534	60651	GCA_000426325.1	GCF_000426325.1
SAMN02841233	184351	GCA_000702365.1	GCF_000702365.1
SAMN02440809	59881	GCA_000424765.1	GCF_000424765.1
SAMN02440677	59891	GCA_000424785.1	GCF_000424785.1
SAMN02597256	90151	GCA_000514995.1	GCF_000514995.1
SAMN02441678	637798	GCA_000377145.1	GCF_000377145.1
SAMN02441350	638198	GCA_000377545.1	GCF_000377545.1
SAMN02441361	637818	GCA_000377165.1	GCF_000377165.1
SAMN02470040	282868	GCA_000213055.1	GCF_000213055.1
SAMN01893930	45321	GCA_000415505.1	GCF_000415505.1
SAMEA1705940	276348	GCA_000203835.1	GCF_000203835.1
SAMN02595233	183798	GCA_000156435.1	GCF_000156435.1
SAMN02595302	239658	GCA_000158975.1	GCF_000158975.1
SAMN10130993	2004841	GCA_003610995.1	GCF_003610995.1
SAMN02595299	239618	GCA_000158915.1	GCF_000158915.1
SAMN02947304	203001	GCA_000739105.1	GCF_000739105.1
SAMN02595236	188241	GCA_000156695.2	GCF_000156695.2
SAMN02440678	59921	GCA_000424845.1	GCF_000424845.1
SAMN02441152	59981	GCA_000424965.1	GCF_000424965.1
SAMN02440637	60571	GCA_000426165.1	GCF_000426165.1
SAMN02471086	713988	GCA_000412265.1	GCF_000412265.1
SAMEA1705928	31028	GCA_000009485.1	GCF_000009485.1
SAMN02045905	326351	GCA_000981305.1	GCF_000981305.1
SAMN03144971	315111	GCA_000959505.1	GCF_000959505.1
SAMN00623032	39588	GCA_000018505.1	GCF_000018505.1
SAMN03140189	315121	GCA_000959525.1	GCF_000959525.1
SAMN00255227	492528	GCA_000286575.1	GCF_000286575.1
SAMN02866398	1978921	GCA_003568605.1	GCF_003568605.1
